# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	216	154	231	181	0
11111	176	154	191	181	0

#WALKING RIGHT
11222	255	154	272	181	0
11223	295	154	312	181	0

#WALKING LEFT
11212	135	154	152	181	0
11213	95	154	112	181	0

#RUNNING RIGHT
11321	213	234	232	260	0
11322	253	233	272	260	0
11323	293	234	312	260	0

#RUNNING LEFT
11311	174	234	193	262	0
11312	134	234	153	262	0
11313	94	235	113	262	0

#JUMP WALK RIGHT
11417	335	155	352	182	0
11413	55	155	72	182	0

#JUMP RUN RIGHT & LEFT
11427	333	275	352	302	0
11423	54	275	73	302	0

#SIT RIGHT & LEFT 
11521	376	159	390	177	0
11511	16	159	30	177	0

#BRACE RIGHT & LEFT 
11821	215	194	232	223	0
11811	175	194	192	223	0

# IDLE_HOLDING_RIGHT
11850	331	234	346	262	0

# IDLE_HOLDING_LEFT
11851	61	234	77	262	0

# WALK_HOLDING_RIGHT
11860	356	234	371	262	0
11861	381	234	397	262	0

# WALK_HOLDING_LEFT
11870	35	234	51	262	0
11871	10	234	26	262	0

# HOLDING_RIGHT_RED
11880	162	25	188	52	90
11881	192	25	220	51	90

# HOLDING_LEFT_RED
11890	268	25	294	52	90
11891	236	25	264	51	90

# HOLDING_RIGHT_GREEN
11900	9	25	35	52	90
11901	39	25	67	51	90

# HOLDING_LEFT_GREEN
11910	115	25	142	52	90
11911	83	25	111	51	90

#GET IN/OUT PIPE
11920	375	194	392	223	0

#DIE
13001	15	120	31	135	0

############ SMALL ################
#IDLE
12121	217	0	228	15	0
12111	177	0	188	15	0

#WALK RIGHT
12222	256	0	271	15	0

#WALK LEFT
12212	135	0	150	15	0

#RUN RIGHT
12321	215	80	230	95	0
12322	255	80	270	95	0

#RUN LEFT
12311	175	80	190	95	0
12312	135	80	150	95	0

#BRACE RIGHT & LEFT
12511	216	40	231	55	0
12521	176	40	191	55	0

#JUMP WALK RIGHT & LEFT 
12413	175	120	190	135	0
12417	215	120	230	135	0

#JUMP RUN RIGHT & LEFT 
12423	175	120	190	135	0
12427	215	120	230	135	0

# HOLDING_RIGHT_RED
12600	162	1	188	18	90
12601	189	1	216	18	90

# HOLDING_LEFT_RED
12610	268	1	294	18	90
12611	240	1	267	18	90

# HOLDING_RIGHT_GREEN
12620	9	1	35	18	90
12621	36	1	62	18	90

# HOLDING_LEFT_GREEN
12630	116	1	141	18	90
12631	88	1	115	18	90

# GET IN/OUT PIPE
12640	375	40	392	57	0

################### RACOON #################
# IDLE_RIGHT					
13001	212	313	235	342	0
# IDLE_LEFT					
13011	173	313	196	342	0
# WALK_RIGHT					
13021	262	313	285	342	0
13022	291	313	314	342	0
# WALK_LEFT					
13031	122	313	145	342	0
13032	92	313	116	342	0
